target variable	mapping	Question	Question	Note	InterVA4
BORN_BIG	true_to_y_dot(Id10365 == 'yes')	Was the baby larger than normal, weighing over 4.5 kg?	At birth, was the baby larger than usual, (weighing over 4.5 kg)?		4060
TWIN	true_to_y_dot(Id10354 == 'yes')	Was the child part of a multiple birth?	Was the child part of a multiple  birth?		4070
COMDEL	true_to_y_dot(Id10369 == 'yes')	Was the child born in a complicated delivery?		Mapping uncertain	4080
CORD	true_to_y_dot(Id10404 == 'yes')	Was the umbilical cord wrapped several times (more than once) around the neck of the child at birth?	Was the umbilical cord wrapped more than once around the neck of the child at birth?	WHO ID changed	4090
WATERS	true_to_y_dot(Id10383 == 'yes')	Was the baby born 24 hours or more after the water broke?	Was the baby born 24 hours or more after the water broke?	WHO ID changed	4100
MOVE_LB	true_to_y_dot(Id10377 == 'yes')	Did the baby stop moving in the womb before labour started?	Did the baby stop moving in the womb before labour started?	WHO ID changed	4110
CYANOSIS	true_to_y_dot(Id10406 == 'yes')	Was the baby blue in colour at birth?	Was the baby blue in colour at birth?		4120
BABY_BR	true_to_y_dot(Id10111 == 'yes')	Did the baby breathe after birth, even a little?	Did the baby breathe immediately after birth, even a little?		4130
BORN_NOBR	true_to_y_dot(Id10113 == 'yes')	Was the baby given assistance to breathe at birth?	Was the baby given assistance to breathe at birth?		4140
CRIED	true_to_y_dot(Id10105 == 'yes')	Did the baby cry after birth, even if only a little bit?	Did the baby cry immediately after birth, even if only a little bit?		4150
NO_LIFE	true_to_y_dot(Id10114 == 'yes')	If the baby did not cry or breathe, was it born dead?	If the baby didn't show any sign of life, was it born dead?		4160
MUSHY	true_to_y_dot(Id10116 == 'yes')	Was the baby born macerated, that is, showed signs of decay?	Was the dead baby macerated, that is, showed signs of decay?		4170
FED_D1	true_to_y_dot(Id10271 == 'yes')	Was the baby able to suckle or bottle?feed within first 24 hours after birth?	Was the baby able to suckle or bottle-feed within the first 24 hours after birth?		4180
ST_SUCK	true_to_y_dot(Id10273 == 'yes' && Id10274 >= 3)	Did the baby stop suckling of bottle feeding 3 days after birth?	Did the baby stop suckling?		4190
AB_POSIT	true_to_y_dot(Id10403 == 'yes')	Did the baby's bottom, feet, arm or hand come into the vagina before its head?	Did the baby's bottom, feet, arm or hand come out of the vagina before its head?	WHO ID changed	4200
CONV_D1	true_to_y_dot(Id10275 == 'yes')	Did the baby have convulsions starting within the first day of life?	Did the baby have convulsions starting within the first 24 hours of life?		4210
CONV_D2	true_to_y_dot(Id10276 == 'yes')	Did the baby have convulsions starting on the second day or later after birth?	Did the baby have convulsions starting more than 24 hours after birth?		4220
ARCH_B	true_to_y_dot(Id10277 == 'yes')	Did the baby's body become stiff, with the back arched backwards?	Did the baby's body become stiff, with the back arched backwards?		4230
FONT_HI	true_to_y_dot(Id10278 == 'yes')	Did the child have a bulging or raised fontanelle?	During the illness that led to death, did the baby have a bulging or raised fontanelle?		4240
FONT_LO	true_to_y_dot(Id10279 == 'yes')	Did the child have a sunken fontanelle?	During the illness that led to death, did the baby have a sunken fontanelle?		4250
UNW_D1	true_to_y_dot(Id10282 == 'yes')	Did the baby become unresponsive or unconscious soon after birth (within less than 24 hours)?	Did the baby become unresponsive or unconscious soon after birth, within less than 24 hours?		4260
UNW_D2	true_to_y_dot(Id10283 == 'yes')	Did the baby become unresponsive or unconscious more than 1 day after birth?	Did the baby become unresponsive or unconscious more than 24 hours after birth?		4270
COLD	true_to_y_dot(Id10284 == 'yes')	Did the baby become cold to the touch before it died?	During the illness that led to death, did the baby become cold to touch?		4280
UMBINF	true_to_y_dot(Id10287 == 'yes')	Did the baby have redness or discharge from the umbilical cord stump?	Did the baby have redness or discharge from the umbilical cord stump?		4290
B_YELLOW	true_to_y_dot(Id10289 == 'yes')	Did the baby have yellow palms or soles?	During the illness that led to death, did the baby have yellow skin, palms (hand) or soles (foot)?		4300
DEVEL	true_to_y_dot(Id10408 == 'yes')	Was the baby/the child not growing normally?	Before the illness that led to death, was the baby/the child growing normally?	WHO ID changed	4310
BORN_MALF	true_to_y_dot(Id10370 == 'yes')	Did the baby/the child have any malformation?	Was any part of the baby physically abnormal at time of delivery? (for example: body part too large or too small, additional growth on body)?		4320
MLF_BK	true_to_y_dot(Id10371 == 'yes')	Did the baby/the child have a swelling/defect on the back?	Did the baby/ child have a swelling or defect on the back?		4330
MLF_LH	true_to_y_dot(Id10372 == 'yes')	Did the baby/the child have a very large head?	Did the baby/ child have a very large head?	WHO ID changed	4340
MLF_SH	true_to_y_dot(Id10373 == 'yes')	Did the baby/the child have a very small head?	Did the baby/ child have a very small head?	WHO ID changed	4350
MTTV	true_to_y_dot(Id10393 == 'yes')	Did the mother receive tetanus toxoid (TT) vaccine?	Did the mother receive tetanus toxoid (TT) vaccine?	WHO ID changed	4360
B_NORM	true_to_y_dot(Id10387 == 'yes')	Was baby born in a normal vaginal delivery?	Was the delivery normal vaginal, without forceps or vacuum?	WHO ID changed	4370
B_ASSIST	true_to_y_dot(Id10388 == 'yes')	Was baby born with forceps/vacuum?	Was the delivery vaginal, with forceps or vacuum?	WHO ID changed	4380
B_CAES	true_to_y_dot(Id10389 == 'yes')	Was baby delivered by Caesarean section?	Was the delivery a Caesarean section?	WHO ID changed	4390
B_FIRST	true_to_y_dot(Id10394 == 0)	Was this baby born from the mother's first pregnancy?		Mapping unclear	4400
B_MORE4	true_to_y_dot(Id10394 >= 4)	Did the baby's mother have four or more births, including stillbirths, before this pregnancy?	How many births, including stillbirths, did the baby's mother have before this baby?	Mapping unclear	4410
B_MBPR	true_to_y_dot(Id10396 == 'yes')	During pregnancy, did the baby's mother suffer from high blood pressure?	During the last 3 months of pregnancy, labour or delivery, did the baby's mother suffer from high blood pressure?	Mapping unclear	4440
B_MSMDS	true_to_y_dot(Id10398 == 'yes')	Did the baby's mother have foul smelling vaginal discharge during pregnancy or after delivery?	Did the baby's mother have foul smelling vaginal discharge during pregnancy or after delivery?	WHO ID changed	4450
B_MCON	true_to_y_dot(Id10399 == 'yes')	During the last 3 months of pregnancy, did the baby's mother suffer from convulsions?	During the last 3 months of pregnancy, labour or delivery, did the baby's mother suffer from convulsions?	WHO ID changed	4460
B_MBVI	true_to_y_dot(Id10400 == 'yes')	During the last 3 months of pregnancy did the baby's mother suffer from blurred vision?	During the last 3 months of pregnancy did the baby's mother suffer from blurred vision?	WHO ID changed	4470
B_MVBL	true_to_y_dot(Id10402 == 'yes')	Did the baby's mother have vaginal bleeding during the last 3 months of pregnancy but before labour started?	Did the baby's mother have vaginal bleeding during the last 3 months of pregnancy but before labour started?	WHO ID changed	4480
B_BFAC	true_to_y_dot(Id10360 == 'hospital' || Id10360 == 'other_health_facility')	Was the child born in a health facility?	Where was the deceased born?	WHO ID changed	4490
B_BHOME	true_to_y_dot(Id10360 == 'home')	Was the child born at home?	Where was the deceased born?		4500
B_BWAY	true_to_y_dot(Id10360 == 'on_route_to_hospital_or_facility' || Id10360 ==  'other')	Was the child born somewhere else, e.g. on the way to a facility?	Where was the deceased born?	WHO ID changed	4510
B_BPROF	true_to_y_dot(Id10361 == 'yes')	Did the mother receive professional assistance during the delivery?	Did the mother receive professional assistance during the delivery?	WHO ID changed	4520
INJURY	true_to_y_dot(Id10077 == 'yes')	Did (s)he suffer from any injury or accident that led to her/his death?	Did (s)he suffer from any injury or accident that led to her/his death?		5000
TRAFFIC	true_to_y_dot(Id10079 == 'yes')	Was it a road traffic accident?	Was it a road traffic accident?	WHO ID changed	5010
O_TRANS	true_to_y_dot(Id10082 == 'yes')	Was (s)he Injured in a non?road transport accident?		Mapping unclear	5020
FALL	true_to_y_dot(Id10077 == 'yes' && Id10083 == 'yes')	Was (s)he Injured in a fall?	Was (s)he injured in a fall?		5030
DROWN	true_to_y_dot(Id10077 == 'yes' && Id10085 == 'yes')	Did (s)he die of drowning?	Did (s)he die of drowning?		5040
FIRE	true_to_y_dot(Id10077 == 'yes' && Id10089 == 'yes')	Did (s)he suffer from burns?	Did (s)he suffer from accidental burns?		5050
ASSAULT	any_to_y(c(Id10090 == 'yes', Id10091 == 'yes', Id10092 == 'yes', Id10093 == 'yes', Id10094 == 'yes'))	Was (s)he subject to violence/assault?	Was (s)he subject to violence/assault?		5060
VENOM	any_to_y(c(Id10086 == 'yes', Id10087 == 'yes'))	Did (s)he suffer from any plant/animal/insect bite or sting that led to her/his death?	Was (s)he accidentally injured by a plant/animal/insect that led to her/his death?		5070
FORCE	true_to_y_dot(Id10077 == 'yes' && Id10095 == 'yes')	Was (s)he injured by a force of nature	Was (s)he injured by a force of nature?		5080
POISON	true_to_y_dot(Id10077 == 'yes' && Id10084 == 'yes')	Was there any poisoning?	Was there any poisoning?		5090
INFLICT	true_to_y_dot(Id10100 == 'yes')	Was the injury intentionally inflicted by someone else?	Was the injury intentionally inflicted by someone else?	WHO ID changed	5100
SUICIDE	true_to_y_dot(Id10077 == 'yes' && Id10099 == 'yes')	Do you think (s)he committed suicide?	Do you think (s)he committed suicide?	WHO ID changed	5110
ALCOHOL	true_to_y_dot(Id10411 == 'yes')	Did (s)he drink alcohol?	Did (s)he drink alcohol?		6000
SMOKING	true_to_y_dot(Id10413 == 'yes')	Did (s)he smoke tobacco (cigarette, cigar, pipe, etc.)?	Did (s)he smoke tobacco (cigarette, cigar, pipe, etc.)?		6010
MARRIED	true_to_y_dot(Id10059 == 'married')	Was she married at the time of death?	What was her/his marital status?		6020
VACCIN	true_to_y_dot(Id10428 == 'yes')	Was (s)he adequately vaccinated?	Did you/the mother receive any vaccinations since reaching adulthood including during this pregnancy?||  Id10430: Can I see the vaccination card (note the vaccines the child received)?	Mapping unclear	6030
TREAT	true_to_y_dot(Id10418 == 'yes')	Did (s)he receive any treatment for the illness that led to death?	Did (s)he receive any treatment for the illness that led to death?		6040
T_ORT	true_to_y_dot(Id10418 == 'yes' && Id10419 == 'yes')	Did (s)he receive oral rehydration salts?	Did (s)he receive oral rehydration salts?		6050
T_IV	true_to_y_dot(Id10418 == 'yes' && Id10420 == 'yes')	Did (s)he receive (or need) intravenous fluids (drip) treatment?	Did (s)he receive (or need) intravenous fluids (drip) treatment?		6060
BLOOD_TR	true_to_y_dot(Id10421 == 'yes')	Did (s)he receive (or need) a blood transfusion?	Did (s)he receive (or need) a blood transfusion?		6070
T_NGT	true_to_y_dot(Id10418 == 'yes' && Id10422 == 'yes')	Did (s)he receive (or need) treatment/food through a tube passed through the nose?	Did (s)he receive (or need) treatment/food through a tube passed through the nose?		6080
ANTIB_I	true_to_y_dot(Id10423 == 'yes')	Did (s)he receive (or need) injectable antibiotics?	Did (s)he receive (or need) injectable antibiotics?		6090
SURGERY	true_to_y_dot(Id10418 == 'yes' && Id10425 == 'yes')	Did (s)he have (or need) an operation for the illness?	Did (s)he have (or need) an operation for the illness?		6100
SUR_1M	true_to_y_dot(Id10426 == 'yes')	Did (s)he have the operation within 1 month before death?	Did (s)he have the operation within 1 month before death?		6110
DISCH	true_to_y_dot(Id10427 == 'yes')	Was (s)he discharged from hospital very ill?	Was (s)he discharged from hospital very ill?		6120
SHOSPF	true_to_y_dot(Id10450 == 'yes')	In the final days before death, did (s)he travel to a hospital or health facility?	In the final days before death, did s/he travel to a hospital or health facility?		7000
STRANS	true_to_y_dot(Id10451 == 'yes')	Did (s)he use motorised transport to get to the hospital or health facility?	Did (s)he use motorised transport to get to the hospital or health facility?		7010
SADMIT	true_to_y_dot(Id10452 == 'yes')	Were there any problems during admission to the hospital or health facility?	Were there any problems during admission to the hospital or health facility?		7020
STREAT	true_to_y_dot(Id10453 == 'yes')	Were there any problems with the way (s)he was treated (medical treatment, procedures, inter?personal attitudes, respect, dignity) in the hospital or health facility?	Were there any problems with the way (s)he was treated (medical treatment, procedures, interpersonal attitudes, respect, dignity) in the hospital or health facility?		7030
SMEDIC	true_to_y_dot(Id10454 == 'yes')	Were there any problems getting medications, or diagnostic tests in the hospital or health facility?	Were there any problems getting medications, or diagnostic tests in the hospital or health facility?		7040
SMORE2	true_to_y_dot(Id10455 == 'yes')	Does it take more than 2 hours to get to the nearest hospital or health facility from the deceased's household?	Does it take more than 2 hours to get to the nearest hospital or health facility from the deceased's household?		7050
SDOUBT	true_to_y_dot(Id10456 == 'yes')	In the final days before death, were there any doubts about whether medical care was needed?	In the final days before death, were there any doubts about whether medical care was needed?		7060
STRADM	true_to_y_dot(Id10457 == 'yes')	In the final days before death, was traditional medicine used?	In the final days before death, was traditional medicine used?		7070
SMOBPH	true_to_y_dot(Id10458 == 'yes')	In the final days before death, did anyone use a telephone or cell phone to call for help?	In the final days before death, did anyone use a telephone or cell phone to call for help?		7080
SCOSTS	true_to_y_dot(Id10459 == 'yes')	Over the course of illness, did the total costs of care and treatment prohibit other household payments?	Over the course of illness, did the total costs of care and treatment prohibit other household payments?		7090
